Assigned To UserID,Next Action UserID,Ticket Number,Note Created By UserID,Entered On,Ticket Labor Hours,Ticket Type,Escalated On,Closed On,Required On,Severity
,cminaya,79997,cminaya,2024-01-01T00:06:07.4830000,0.41666666666666669,Administration,,2024-01-08T08:49:51.0000000,,
,cminaya,80040,cminaya,2024-01-02T15:48:55.0730000,0.36458333333333337,IT Services - Desktop,2024-01-03T17:15:04.2600000,2024-01-03T17:15:04.4170000,,Non-Critical (Standard)
,cminaya,80040,EscalationRule,2024-01-02T15:48:55.0730000,0.36458333333333337,IT Services - Desktop,2024-01-03T17:15:04.2600000,2024-01-03T17:15:04.4170000,,Non-Critical (Standard)
,cminaya,80075,admin,2024-01-04T09:24:32.2200000,0.020833333333333332,IT Services - Hardware,,2024-01-22T14:39:33.0000000,,Non-Critical (Standard)
,cminaya,80075,cminaya,2024-01-04T09:24:32.2200000,0.020833333333333332,IT Services - Hardware,,2024-01-22T14:39:33.0000000,,Non-Critical (Standard)
,cminaya,80075,frodriguez,2024-01-04T09:24:32.2200000,0.020833333333333332,IT Services - Hardware,,2024-01-22T14:39:33.0000000,,Non-Critical (Standard)
,cminaya,80075,jzuniga,2024-01-04T09:24:32.2200000,0.020833333333333332,IT Services - Hardware,,2024-01-22T14:39:33.0000000,,Non-Critical (Standard)
,cminaya,80078,cminaya,2024-01-04T11:07:45.8200000,0.03125,IT Services - Hardware,,2024-01-05T09:03:15.0000000,,Non-Critical (Standard)
,cminaya,80087,cminaya,2024-01-04T15:05:50.0970000,0.16666666666666666,IT Services - Laptop,,2024-01-11T11:31:01.0000000,,Non-Critical (Standard)
,cminaya,80111,dwest,2024-01-05T13:32:38.6630000,0,IT Services - Desktop,,2024-01-09T15:29:53.0000000,,Non-Critical (Standard)
,cminaya,80111,jzuniga,2024-01-05T13:32:38.6630000,0,IT Services - Desktop,,2024-01-09T15:29:53.0000000,,Non-Critical (Standard)
,cminaya,80135,cminaya,2024-01-08T00:06:06.6870000,0.85416666666666674,Administration,,2024-01-16T10:03:07.0000000,,
,cminaya,80155,cminaya,2024-01-08T11:33:26.5300000,0.041666666666666664,IT Services - Hardware,,2024-01-11T16:10:06.0000000,,Non-Critical (Standard)
,cminaya,80162,cminaya,2024-01-08T15:32:15.7070000,0.041666666666666664,IT Services - Desktop,,2024-01-11T16:11:16.0000000,,Non-Critical (Standard)
,cminaya,80163,cminaya,2024-01-08T15:35:24.1400000,0.083333333333333329,IT Services - Laptop,,2024-01-12T09:28:36.0000000,,Non-Critical (Standard)
,cminaya,80169,cminaya,2024-01-08T16:41:03.0070000,0.03125,IT Services - Hardware,,2024-01-09T09:26:47.0000000,,Non-Critical (Standard)
,cminaya,80256,cminaya,2024-01-12T11:07:02.5030000,0.10416666666666666,IT Services - Network,,2024-01-16T10:05:10.0000000,,Non-Critical (Standard)
,cminaya,80281,cminaya,2024-01-15T00:06:07.7500000,0.54166666666666663,Administration,,2024-01-22T09:05:46.0000000,,
,cminaya,80347,cminaya,2024-01-18T14:34:08.3270000,0.42708333333333331,IT Services - Hardware,2024-01-23T22:00:04.4800000,2024-02-19T11:12:44.0000000,,Non-Critical (Standard)
,cminaya,80347,EscalationRule,2024-01-18T14:34:08.3270000,0.42708333333333331,IT Services - Hardware,2024-01-23T22:00:04.4800000,2024-02-19T11:12:44.0000000,,Non-Critical (Standard)
,cminaya,80347,jzuniga,2024-01-18T14:34:08.3270000,0.42708333333333331,IT Services - Hardware,2024-01-23T22:00:04.4800000,2024-02-19T11:12:44.0000000,,Non-Critical (Standard)
,cminaya,80392,cminaya,2024-01-22T00:06:07.1100000,0.36458333333333331,Administration,,2024-01-29T08:57:04.0000000,,
,cminaya,80416,cminaya,2024-01-22T13:24:41.4730000,0.17708333333333334,IT Services - Telecom,,2024-01-24T09:52:38.0000000,,Non-Critical (Standard)
,cminaya,80417,cminaya,2024-01-22T13:28:34.8000000,0.09375,IT Services - Laptop,,2024-01-24T16:17:54.0000000,,Non-Critical (Standard)
,cminaya,80421,cminaya,2024-01-22T15:32:53.5570000,0.17708333333333331,IT Services - Laptop,2024-01-30T15:30:04.8600000,2024-01-30T15:30:05.0000000,,Non-Critical (Standard)
,cminaya,80421,EscalationRule,2024-01-22T15:32:53.5570000,0.17708333333333331,IT Services - Laptop,2024-01-30T15:30:04.8600000,2024-01-30T15:30:05.0000000,,Non-Critical (Standard)
,cminaya,80469,cminaya,2024-01-24T16:15:38.8230000,0.0625,IT Services - Desktop,2024-01-25T10:15:03.3200000,2024-01-25T10:15:03.4770000,,Non-Critical (Standard)
,cminaya,80469,EscalationRule,2024-01-24T16:15:38.8230000,0.0625,IT Services - Desktop,2024-01-25T10:15:03.3200000,2024-01-25T10:15:03.4770000,,Non-Critical (Standard)
,cminaya,80480,cminaya,2024-01-25T09:07:02.1300000,0.010416666666666666,IT Services - Laptop,,2024-01-29T08:59:36.0000000,,Non-Critical (Standard)
